team_id,repo_url
LMC-05,https://github.com/LakshyMittal/ai-code-review.git
DSM-06,https://github.com/Dhruvsoni4125/Medical-image-disease-detection-system
LMP-07,https://github.com/LakshyMittal/ProjectPerformanceAnalysis.git
